,news_category,news_header,news_date,news_time
0,Новини,,,
1,,Оголосили переможців премії «Кіноколо»,,20:19 
2,,Співачка та блогерка Jerry Heil у КАМА,,19:57 
3,,Google Play Music припинив роботу,,19:38 
4,,Українська вакцина від COVID-19 пройшла доклінічну фазу досліджень – МОЗ,,18:28 
5,,Жорсткий карантин в Україні вводити не планують – Зеленський,,17:53 
6,,Білоруські опозиціонери стали лауреатами премії Сахарова,,16:51 
7,,Почалась підготовка до демонтажу зайвих поверхів забудови на Гончара – КМДА,,16:18 
8,,Facebook запускає в Європі сервіс знайомств Dating,,14:08 
9,,Папа Франциск уперше підтримав узаконення стосунків одностатевих пар,,12:20 
10,,"В Україні відкрили передзамовлення PlayStation 5. Ціни вищі, ніж анонсували у вересні",,11:42 
11,,На дорогах Деснянського району встановлять ще 139 камер відеоспостереження,,10:44 
12,,General Motors показала повністю електричний Hummer,,10:22 
13,,Уперше понад 7 000 випадків COVID зафіксували в Україні за добу,,09:11 
14,,"Про відключення води, опалення та електроенергії жителів Києва почнуть попереджати SMS-ками",,22:48 
15,,«Шахтар» переміг «Реал» із рахунком 3:2,,21:50 
16,,Де в Києві найбрудніше повітря від авто – рейтинг,,19:59 
17,,Перед виборами ЦНАПи в Києві працюватимуть на вихідних: можна буде отримати паспорт,,16:00 
18,,"В Оболонському районі встановили «лежачих поліцейських» і «зебри»
",,11:21 
19,,Чехія посилює карантин: маски надворі й у власному авто (доповнено),,10:42 
20,,У Києві створили 3D-тур квартирою родини Франка,,10:23 
21,,"COVID: за добу виявили рекордні 6 719 випадків. Також рекорд серед смертності – 141 людина
",,08:51 
22,,Запустили експериментальний автобус Виноградар – «Академмістечко»: щоб вивчити попит пасажирів,,15:24 
23,,FlixBus запускає нові маршрути з України,,15:23 
24,,Ірландія повертає локдаун. Від дому можна відійти не більш ніж на 5 кілометрів,,12:54 
25,,"Мер Копенгагена пішов у відставку через те, що торкався двох жінок без їхньої згоди",,12:33 
26,,"Європейські фермери хочуть заборонити називати «вегетаріанське м’ясо» – м’ясом
",,11:04 
27,,"Для хворих на COVID обладнають місця в немедичних закладах: у Києві, Одесі та на Донеччині",,09:59 
28,,"COVID: за добу виявили 5 469 випадків, у Києві + 462
",,08:57 
29,,До Києва з Мінська переїхали близько 300 робітників ІТ-компанії Wargaming – ЗМІ,,23:30 
30,,У Сан-Франциско художникам платитимуть щомісяця 1000 доларів. Це через COVID,,16:20 
31,,У Києві знімають документалку про протести в Білорусі. Її покаже Netflix,,15:06 
32,,«Найгірший сценарій»: у МОЗ прогнозують 35 тисяч випадків вірусних хвороб за добу восени,,14:54 
33,,Оголосили вартість будівництва канатної дороги через Дніпро. КМДА шукає інвесторів,,14:10 
34,,"Заборона книжки про Стуса: весь наклад розкупили, видавництво публікує нову",,13:25 
35,,Uber запускає опцію Pool Chance: можна розділити поїздку із ще одним пасажиром,,12:16 
36,,Суд у Києві заборонив розповсюджувати книжку про Василя Стуса,,09:53 
37,,"COVID: за добу виявили 4 766 випадків, у Києві + 385",,09:16 
38,Місто,,,
39,,Проєкт: Озера на Теремках очистять від сміття і оновлять зону відпочинку,,09:53 
40,,Третю добу поспіль виявляють рекордну кількість випадків COVID в Україні,,09:10 
41,,Фото: Що зробили під час капремонту Липової алеї на Троєщині,вчора,19:02 
42,,Українська вакцина від COVID-19 пройшла доклінічну фазу досліджень – МОЗ,вчора,18:28 
43,,Жорсткий карантин в Україні вводити не планують – Зеленський,вчора,17:53 
44,,Фото: Будівництво метро на Виноградар: проклали 134 метри тунелю,вчора,17:33 
45,,Білоруські опозиціонери стали лауреатами премії Сахарова,вчора,16:51 
46,,Почалась підготовка до демонтажу зайвих поверхів забудови на Гончара – КМДА,вчора,16:18 
47,,Відео: З’явився мобільний застосунок про Голодомор: як жили Київ і містяни в 1930-их роках,вчора,16:14 
48,,цифра: Скільки в Україні електромобілів,вчора,15:40 
49,,Фото: Двостороння велодоріжка з’явилася на Городецького,вчора,15:32 
50,,"Фото: Показали, який вигляд матиме притулок для тварин «Сіріус» після реконструкції",вчора,14:54 
51,,Фото: З дорожньої розв’язки в Подільському районі прибрали рекламні щити,вчора,14:03 
52,,"Промо: Як проголосувати при порушеннях зору, слуху та опорно-рухового апарату: інструкція",вчора,13:36 
53,,Фото: У Голосіївському районі знесли 40 МАФів і розчистили зупинки,вчора,12:38 
54,,Папа Франциск уперше підтримав узаконення стосунків одностатевих пар,вчора,12:20 
55,Бізнес,,,
56,,Google Play Music припинив роботу,вчора,19:38 
57,,Facebook запускає в Європі сервіс знайомств Dating,вчора,14:08 
58,,"В Україні відкрили передзамовлення PlayStation 5. Ціни вищі, ніж анонсували у вересні",вчора,11:42 
59,,General Motors показала повністю електричний Hummer,вчора,10:22 
60,,Українці створили додаток для подорожей: він у топ-3 завантажень в українському AppStore,21 жов,09:43 
61,,FlixBus запускає нові маршрути з України,20 жов,15:23 
62,,"Європейські фермери хочуть заборонити називати «вегетаріанське м’ясо» – м’ясом
",20 жов,11:04 
63,,До Києва з Мінська переїхали близько 300 робітників ІТ-компанії Wargaming – ЗМІ,19 жов,23:30 
64,,Є питання: Коли нові iPhone від Apple з’являться в Україні,19 жов,08:45 
65,,Український стартап створив триколісний електровелосипед Delfast Trike,17 жов,13:29 
66,,"Конференція Adobe Max пройде безкоштовно й онлайн. З Tyler, the Creator, Зендаєю і Заком ​​Браффом",17 жов,12:24 
67,,"Google Maps допоможе перевірити, скільки відвідувачів у закладі і як там дотримуються карантину ",17 жов,11:28 
68,,Лоукостер Ryanair повністю скасував десять рейсів з України. З них – 6 із Києва,16 жов,14:43 
69,,"ІКЕА прийматиме свої вживані меблі, натомість даватиме клієнтам знижки на купівлю нових",15 жов,08:32 
70,,Авіакомпанія в Сінгапурі перетворила свої літаки на ресторани,14 жов,16:37 
71,,Є питання: Скільки можуть коштувати нові iPhone в Україні,14 жов,11:26 
72,Їжа,,,
73,,Нове місце: Стрит-кафе Сhin Chin на Бессарабці,вчора,13:23 
74,,Заклади «Компот» і «Стейкхаус» на Дерибасівській в Одесі припиняють роботу,вчора,12:40 
75,,Нове місце: «Альтернативна кава» в артцентрі у Львові,21 жов,20:59 
76,,Нове місце: Перезапуск бару Ivy Bar біля метро «Університет»: що зміниться,21 жов,17:39 
77,,"Нове місце: Індонезійська кухня й тако в «Мамасіта» на Театральній
",21 жов,13:00 
78,,"Нове місце: Бургерна «Буду бургер» на Подолі
",21 жов,09:18 
79,,Нове місце: Ресторан корейської кухні Kim Kimchi на Виноградарі,20 жов,18:24 
80,,Нове місце: Піцерія із самообслуговуванням Urban Pizza Shop у Львові,19 жов,18:10 
81,,Нове місце: «Хлібний» на Львівській площі ,16 жов,19:48 
82,,Новини ресторанів: Breakfast Club: попап зі сніданками на вихідних запускає команда «Асамблеї»,16 жов,12:46 
83,,"Нове місце: Азійське кафе Tsuposh у ТРЦ Lavina Mall
",15 жов,09:44 
84,,Нове місце: Кав’ярня Mountains Coffee Bar на Солом’янці ,14 жов,12:31 
85,,Нове місце: Ресторан «Грузія-фільм» біля Львівської площі,13 жов,13:26 
86,,Нове місце: Кав’ярня Idealist біля «Арсенальної»,12 жов,15:11 
87,,Нове місце: Кав’ярня Espressoholic на Великій Житомирській,12 жов,09:33 
88,,Нове місце: Кафе Blender біля «Васильківської»,10 жов,12:44 
89,Стиль,,,
90,,Молоді дизайнери-фіналісти конкурсу New Fashion Zone покажуть свої роботи в Києві,15 жов,16:47 
91,,Промо: Велотрек і готель «Салют» у капсульній колекції Kachorovska з ілюстратором Сергієм Майдуковим,13 жов,10:41 
92,,Фото: З ременів безпеки та скла: Hyundai створив колекцію одягу й аксесуарів,12 жов,19:56 
93,,Фото: Нова колекція Katsurina FW 20/21,9 жов,20:27 
94,,Фото: Осіння колекція від українського бренду Balcony Garment,5 жов,22:15 
95,,"Осіння колекція українського бренду Katimo, натхненна «неромантичною» балериною",1 жов,21:05 
96,,Фото: SHIFT і GUD запустили спільну лінійку для бігунів,18 вер,12:00 
97,,"Фото: Художник Воротньов і засновник «Схеми» Лепшеєв створили бренд одягу Samopal, який популяризує Київ",15 вер,15:40 
98,,Україна у виданні Louis Vuitton. Будинок моди опублікує фотоальбом Ukraine зі знімками Synchrodogs,14 вер,15:46 
99,,Колаборація: Перша капсульна колекція ЦУМ та українського бренду Jul,12 вер,18:03 
100,,"Промо: Ідеї бароко: перли, діаманти та золоте мереживо в новій колекції SOVA",10 вер,15:49 
101,,Нове місце: Італійський бутик Miss Sixty на Антоновича,8 вер,19:38 
102,,"Дивіться тизери колаборації Lego з Adidas і Levi's
",7 вер,12:30 
103,,Фото: Nike запускає свою першу лінійку одягу для вагітних,6 вер,15:29 
104,,Одеська студія дизайну створила рекламу для прозорого телевізора Xiaomi,2 вер,16:14 
105,,Скелясті стіни й ванна в стилі гарячого джерела. Dezeen написали про проєкт українців Sivak+Partners,26 сер,15:35 
106,Культура,,,
107,,Оголосили переможців премії «Кіноколо»,вчора,20:19 
108,,Співачка та блогерка Jerry Heil у КАМА,вчора,19:57 
109,,Є питання: Які фільми представлятимуть Україну на фестивалі документалок в Амстердамі,21 жов,14:05 
110,,У Києві створили 3D-тур квартирою родини Франка,21 жов,10:23 
111,,Аналітики назвали найстрашніший фільм жахів,19 жов,22:57 
112,,У Сан-Франциско художникам платитимуть щомісяця 1000 доларів. Це через COVID,19 жов,16:20 
113,,"Заборона книжки про Стуса: весь наклад розкупили, видавництво публікує нову",19 жов,13:25 
114,,Суд у Києві заборонив розповсюджувати книжку про Василя Стуса,19 жов,09:53 
115,,"Фото: Бенксі зізнався в авторстві графіті, де дівчинка крутить на талії велосипедну шину",18 жов,17:47 
116,,Український фільм «Із зав’язаними очима» визнали найкращим дебютантом на кінофестивалі у Варшаві,18 жов,16:58 
117,,Alyona Alyona запустила музичний лейбл Enko,18 жов,11:59 
118,,Відео: Українці взяли участь у зйомці документалки HBO про кібервійни,17 жов,14:15 
119,,Лана Дель Рей представила перший трек із нового альбома ,16 жов,20:41 
120,,"Google додав нову функцію: можна знайти пісню, наспівавши її",16 жов,12:47 
121,,Відео: «Усе пройшло шалено». Українська режисерка Таню Муіньо зняла кліп для Yungblud,16 жов,08:49 
122,,Оголосили переможців премії Billboard Music Awards 2020,15 жов,18:59 
123,Знання,,,
124,,Нобелівську премію з економіки присудили за вдосконалення теорії аукціонів,12 жов,13:39 
125,,"Вчені створили новий вид пластику, який не потрібно перероблювати",10 жов,13:51 
126,,Промо: Лауреатками Нобелівської премії з хімії стали переможниці Міжнародної премії L’ORÉAL-UNESCO,9 жов,18:17 
127,,Перший словник сучасної української мови видали в Італії,9 жов,10:33 
128,,Національну академію наук України очолив Анатолій Загородній,7 жов,18:48 
129,,Нобелівську премію з хімії присудили за створення «генетичних ножиць»,7 жов,13:14 
130,,Нобелівську премію з фізики присудили за дослідження чорних дір,6 жов,13:25 
131,,Нобелівську премію з медицини присудили за відкриття гепатиту С (яке зробили у ХХ столітті),5 жов,16:27 
132,,Премію Global Teacher Prize Ukraine отримав учитель з Тернопільщини,4 жов,11:59 
133,,Відео: Український бренд одягу Sleeper зняв відео про міфи щодо раку молочної залози,1 жов,23:00 
134,,Промо: «Як розуміти сучасне мистецтво» та ще три осінні арткурси від «Культурного Проекту»,24 вер,17:57 
135,,Відео: Чип для мозку від Ілона Маска: шанс для паралізованих і заявка на телепатію,30 сер,11:58 
136,,"Промо: КАМА та Masterskaya запускають музичний освітній табір KAMP: спікери та дати першого інтенсиву
",14 сер,16:29 
137,,"Відео: SpaceX випробувала прототип ракети Starship, яка літатиме на Місяць і Марс",5 сер,14:07 
138,,"Що робити з пилом? NASA шукає студентів, які вирішать цю проблему на Місяці",1 сер,18:23 
139,,NASA запустили місію на Марс: коли вона долетить і що робитиме,30 лип,17:55 
140,Діти,,,
141,,Промо: Запустили продаж нових українських підгузків Bambik: усю першу партію передали на благодійність,13 тра,17:12 
142,,У Києві запустили онлайн-дитсадок: ним уже скористалися 100 тисяч користувачів,5 тра,16:56 
143,,"Сервіси нянь безкоштовно доглядатимуть дітей, чиї батьки потрапили в лікарню",13 бер,18:31 
144,,Рейтинг: Найкращі країни для життя і розвитку дітей − UNICEF,19 лют,21:21 
145,,16 дітей з усього світу подали скаргу в  ООН через зміни клімату,24 вер,19:39 
146,,У Києві відкрили перший гуртожиток для дітей-сиріт,5 чер,15:55 
147,,Нове місце: Дитячий простір Kasha на «Либідській»,4 чер,13:07 
148,,Зі шкільної бібліотеки у Барселоні вилучили «Червону Шапочку»: у казці знайшли сексизм,14 кві,14:47 
149,,У Києві запустили новий електронний запис до дитсадків: як він працює,3 кві,21:23 
150,,"Відео: Українські рятувальниці підтримали дівчинку, яка хотіла стати хлопчиком, щоб працювати в пожежній",27 січ,13:02 
151,,Рада схвалила законопроект про протидію булінгу: що це значить,18 гру,18:52 
152,,«Резиденцію святого Миколая» відкрили у Головпоштамті,11 гру,10:10 
153,,Дизайнери створили лавку для грудного вигодовування у громадських місцях,11 жов,17:42 
154,,"Запустили новий порядок груп подовженого дня: що треба знати батькам
",3 вер,15:45 
155,,ПРОПОЗИЦІЯ: Відмовитися від шкільних лінійок,31 сер,14:42 
156,,Чоловікам з малолітніми дітьми можуть дозволити працювати за скороченим графіком,30 сер,10:01 
157,Donate The Village​,,,
